org_code,org_name,org_type,postcode,region_name,is_current,first_month_seen,last_month_seen,months_type1,is_type1_provider,icb_code,icb_name,icb_code_2022,icb_name_2022
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NHS Trust,L14 3PE,North West,true,202104,202606,0,false,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NHS Trust,NE29 8NH,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NHS Trust,MK6 5LD,East of England,true,202104,202606,63,true,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board"
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS Trust,NW3 2QG,London,true,202104,202606,63,true,QMJ,NHS North Central London Integrated Care Board,QMJ,NHS North Central London Integrated Care Board
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,NHS Trust,GU16 7UJ,South East,true,202104,202606,63,true,QNQ,NHS Frimley Integrated Care Board,QNQ,NHS Frimley Integrated Care Board
DJV01,HERNE BAY HEALTH CARE LTD,Other provider,,South East Commissioning Region,,202507,202606,0,false,QKS,NHS Kent And Medway Integrated Care Board,,
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NHS Trust,TS24 9AH,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NHS Trust,NE9 6SX,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NHS Trust,HD3 3EA,North East and Yorkshire,true,202104,202606,63,true,QWO,NHS West Yorkshire Integrated Care Board,QWO,NHS West Yorkshire Integrated Care Board
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NHS Trust,UB8 3NN,London,true,202104,202606,63,true,QRV,NHS North West London Integrated Care Board,QRV,NHS North West London Integrated Care Board
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS Trust,S5 7AU,North East and Yorkshire,true,202104,202606,63,true,QF7,NHS South Yorkshire Integrated Care Board,QF7,NHS South Yorkshire Integrated Care Board
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS Trust,DN33 2BA,North East and Yorkshire,true,202104,202606,63,true,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS Trust,LU4 0DZ,East of England,true,202104,202606,63,true,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board"
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NHS Trust,NW1 2PG,London,true,202104,202606,63,true,QMJ,NHS North Central London Integrated Care Board,QMJ,NHS North Central London Integrated Care Board
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,NHS Trust,SG1 4AB,East of England,true,202104,202606,63,true,QM7,NHS Hertfordshire And West Essex Integrated Care Board,QM7,NHS Hertfordshire And West Essex Integrated Care Board
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NHS Trust,DL3 6HX,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,NHS Trust,IP33 2QZ,East of England,true,202104,202606,63,true,QJG,NHS Suffolk And North East Essex Integrated Care Board,QJG,NHS Suffolk And North East Essex Integrated Care Board
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,NHS Trust,DY1 2HQ,Midlands,true,202104,202606,63,true,QUA,NHS Black Country Integrated Care Board,QUA,NHS Black Country Integrated Care Board
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,NHS Trust,CV6 6NY,Midlands,true,202104,202606,0,false,QWU,NHS Coventry And Warwickshire Integrated Care Board,QWU,NHS Coventry And Warwickshire Integrated Care Board
RMC,BOLTON NHS FOUNDATION TRUST,NHS Trust,BL4 0JR,North West,true,202104,202606,63,true,QOP,NHS Greater Manchester Integrated Care Board,QOP,NHS Greater Manchester Integrated Care Board
RPA,MEDWAY NHS FOUNDATION TRUST,NHS Trust,ME7 5NY,South East,true,202104,202606,63,true,QKS,NHS Kent And Medway Integrated Care Board,QKS,NHS Kent And Medway Integrated Care Board
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NHS Trust,SO16 6YD,South East,true,202104,202606,63,true,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board
AQN04,PHL LYMINGTON UTC,Other provider,,South East Commissioning Region,,202104,202606,0,false,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board
NQTE4,SUMMERFIELD URGENT CARE CENTRE,Other provider,,Midlands Commissioning Region,,202105,202603,0,false,QUA,NHS Black Country Integrated Care Board,QUA,NHS Black Country Integrated Care Board
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,NHS Trust,PO6 3LY,South East,true,202104,202606,63,true,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS Trust,RG24 9NA,South East,true,202104,202606,63,true,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board
RA7,BRISTOL NHS FOUNDATION TRUST,NHS Trust,BS1 3NU,South West,true,202104,202606,63,true,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board"
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS Trust,PR2 9HT,North West,true,202104,202606,63,true,QE1,NHS Lancashire And South Cumbria Integrated Care Board,QE1,NHS Lancashire And South Cumbria Integrated Care Board
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NHS Trust,SN3 6BB,South West,true,202104,202606,63,true,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board"
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NHS Trust,NN1 5BD,Midlands,true,202104,202606,63,true,QPM,NHS Northamptonshire Integrated Care Board,QPM,NHS Northamptonshire Integrated Care Board
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,NHS Trust,RG12 2UT,South East,true,202104,202606,0,false,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board"
RCF,AIREDALE NHS FOUNDATION TRUST,NHS Trust,BD20 6TD,North East and Yorkshire,true,202104,202606,63,true,QWO,NHS West Yorkshire Integrated Care Board,QWO,NHS West Yorkshire Integrated Care Board
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS Trust,FY3 8NR,North West,true,202104,202606,63,true,QE1,NHS Lancashire And South Cumbria Integrated Care Board,QE1,NHS Lancashire And South Cumbria Integrated Care Board
Y02615,SOUTH BIRMINGHAM GP WALK IN CENTRE,Other provider,,Midlands Commissioning Region,,202104,202603,0,false,QHL,NHS Birmingham And Solihull Integrated Care Board,QHL,NHS Birmingham And Solihull Integrated Care Board
Y02676,BRIGHTON STATION HEALTH CENTRE,Other provider,,South East Commissioning Region,,202104,202606,0,false,QNX,NHS Sussex Integrated Care Board,QNX,NHS Sussex Integrated Care Board
NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,Other provider,,South East Commissioning Region,,202104,202606,0,false,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board
A5D4Q,NEMS CBS (UTC),Other provider,,Midlands Commissioning Region,,202503,202509,0,false,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,,
M85813,BIRMINGHAM WIC,Other provider,,NHS ENGLAND MIDLANDS,,202104,202203,0,false,,,,
Y02961,SUMMERFIELD GP SURG & URGENT CARE CENTRE,Other provider,,NHS ENGLAND MIDLANDS,,202104,202104,0,false,,,,
NQ108,CLACTON HOSPITAL,Other provider,,NHS ENGLAND EAST OF ENGLAND,,202105,202108,0,false,,,,
C82010,OAKHAM MEDICAL PRACTICE,Other provider,,NHS ENGLAND MIDLANDS,,202104,202212,0,false,,,,
Y07709,READING URGENT CARE CENTRE,Other provider,,NHS ENGLAND SOUTH EAST,,202403,202506,0,false,,,,
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,NHS Trust,BH17 0RB,South West,true,202104,202606,0,false,QVV,NHS Dorset Integrated Care Board,QVV,NHS Dorset Integrated Care Board
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,NHS Trust,CV34 5BW,Midlands,true,202104,202606,63,true,QWU,NHS Coventry And Warwickshire Integrated Care Board,QWU,NHS Coventry And Warwickshire Integrated Care Board
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NHS Trust,SY10 7AG,Midlands,true,202104,202606,0,false,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board"
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NHS Trust,CW1 4QJ,North West,true,202104,202606,63,true,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NHS Trust,SE5 9RS,London,true,202104,202606,63,true,QKK,NHS South East London Integrated Care Board,QKK,NHS South East London Integrated Care Board
RNZ,SALISBURY NHS FOUNDATION TRUST,NHS Trust,SP2 8BJ,South West,true,202104,202606,63,true,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board"
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NHS Trust,S44 5BL,Midlands,true,202104,202606,63,true,QJ2,NHS Derby And Derbyshire Integrated Care Board,QJ2,NHS Derby And Derbyshire Integrated Care Board
C82009,MARKET HARBOROUGH MED.CTR,Other provider,,Midlands Commissioning Region,,202104,202606,0,false,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board"
NNJ,DHU HEALTH CARE C.I.C,Other provider,,Midlands Commissioning Region,,202104,202606,0,false,QJ2,NHS Derby And Derbyshire Integrated Care Board,QJ2,NHS Derby And Derbyshire Integrated Care Board
ARN03,LOCAL CARE DIRECT,Other provider,,North East and Yorkshire Commissioning Region,,202104,202606,0,false,QWO,NHS West Yorkshire Integrated Care Board,QWO,NHS West Yorkshire Integrated Care Board
NNF09,BRANSHOLME HEALTH CENTRE,Other provider,,North East and Yorkshire Commissioning Region,,202104,202606,0,false,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,NHS Trust,SY2 6FG,Midlands,true,202104,202606,0,false,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board"
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NHS Trust,EX2 7HY,South West,true,202104,202606,0,false,QJK,NHS Devon Integrated Care Board,QJK,NHS Devon Integrated Care Board
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NHS Trust,S60 2UD,North East and Yorkshire,true,202104,202606,63,true,QF7,NHS South Yorkshire Integrated Care Board,QF7,NHS South Yorkshire Integrated Care Board
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,NHS Trust,LN5 7JH,Midlands,true,202104,202606,0,false,QJM,NHS Lincolnshire Integrated Care Board,QJM,NHS Lincolnshire Integrated Care Board
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS Trust,CB2 0QQ,East of England,true,202104,202606,63,true,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,NHS Trust,GL3 4AW,South West,true,202104,202606,0,false,QR1,NHS Gloucestershire Integrated Care Board,QR1,NHS Gloucestershire Integrated Care Board
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS Trust,DN2 5LT,North East and Yorkshire,true,202104,202606,63,true,QF7,NHS South Yorkshire Integrated Care Board,QF7,NHS South Yorkshire Integrated Care Board
Y03007,ERDINGTON GP HEALTH & WELLBEING WIC,Other provider,,Midlands Commissioning Region,,202104,202603,0,false,QHL,NHS Birmingham And Solihull Integrated Care Board,QHL,NHS Birmingham And Solihull Integrated Care Board
Y03218,THE PINN UNREGISTERED WIC,Other provider,,London Commissioning Region,,202104,202603,0,false,QRV,NHS North West London Integrated Care Board,QRV,NHS North West London Integrated Care Board
NNJ12,MARKET HARBOROUGH,Other provider,,Midlands Commissioning Region,,202104,202606,0,false,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board"
NNJ14,OADBY,Other provider,,Midlands Commissioning Region,,202104,202606,0,false,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board"
NNJ15,RUTLAND MINOR ILLNESS AND INJURY SERVICE (FORMERLY WLHH PRE-APRIL 2026),Other provider,,Midlands Commissioning Region,,202104,202606,0,false,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board"
NNJ07,LOUGHBOROUGH URGENT CARE CENTRE,Other provider,,Midlands Commissioning Region,,202205,202606,0,false,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board"
NNJ10,ENDERBY LEISURE CENTRE,Other provider,,Midlands Commissioning Region,,202603,202606,0,false,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,NHS Trust,RH19 3DZ,South East,true,202104,202606,0,false,QNX,NHS Sussex Integrated Care Board,QNX,NHS Sussex Integrated Care Board
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,NHS Trust,TN25 4AZ,South East,true,202104,202606,0,false,QKS,NHS Kent And Medway Integrated Care Board,QKS,NHS Kent And Medway Integrated Care Board
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,NHS Trust,PE3 9GZ,East of England,true,202104,202606,63,true,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,NHS Trust,PL31 2QN,South West,true,202104,202606,0,false,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NHS Trust,SY3 8XQ,Midlands,true,202104,202606,63,true,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board"
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,NHS Trust,NW1 5JD,London,true,202104,202606,0,false,QRV,NHS North West London Integrated Care Board,QRV,NHS North West London Integrated Care Board
RJ6,CROYDON HEALTH SERVICES NHS TRUST,NHS Trust,CR7 7YE,London,true,202104,202606,63,true,QWE,NHS South West London Integrated Care Board,QWE,NHS South West London Integrated Care Board
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,NHS Trust,EC1V 2PD,London,true,202104,202606,0,false,QMJ,NHS North Central London Integrated Care Board,QMJ,NHS North Central London Integrated Care Board
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS Trust,LE1 5WW,Midlands,true,202104,202606,63,true,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board"
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS Trust,SW17 0QT,London,true,202104,202606,63,true,QWE,NHS South West London Integrated Care Board,QWE,NHS South West London Integrated Care Board
