org_code,org_name,org_type,postcode,region_name,is_current,first_month_seen,last_month_seen,months_type1,is_type1_provider,icb_code,icb_name,icb_code_2022,icb_name_2022
AJN,WORKINGTON HEALTH LIMITED,Other provider,,North East and Yorkshire Commissioning Region,,202104,202606,0,false,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
NNF76,THE WILBERFORCE HEALTH CENTRE,Other provider,,North East and Yorkshire Commissioning Region,,202104,202402,0,false,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
AD913,BECKENHAM BEACON UCC,Other provider,,London Commissioning Region,,202104,202606,0,false,QKK,NHS South East London Integrated Care Board,QKK,NHS South East London Integrated Care Board
Y02428,PUTNOE WALK IN CENTRE,Other provider,,East of England Commissioning Region,,202104,202606,0,false,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board"
DT301,HERTS URGENT CARE (ASCOTS LANE),Other provider,,East of England Commissioning Region,,202104,202606,0,false,QM7,NHS Hertfordshire And West Essex Integrated Care Board,QM7,NHS Hertfordshire And West Essex Integrated Care Board
NQT1I,CHIPPENHAM COMMUNITY HOSPITAL,Other provider,,South West Commissioning Region,,202505,202606,0,false,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,
Y03051,HASTINGS MED P & WALKIN,Other provider,,NHS ENGLAND SOUTH EAST,,202104,202204,0,false,,,,
NTV0B,ASHFORD WALK-IN-CENTRE,Other provider,,NHS ENGLAND SOUTH EAST,,202104,202606,0,false,,,,
Y00751,EAST BERKS PRIMARY CARE OOH(WAM),Other provider,,NHS ENGLAND SOUTH EAST,,202104,202509,0,false,,,,
AXG,WILTSHIRE HEALTH & CARE,Other provider,,NHS ENGLAND SOUTH WEST,,202104,202502,0,false,,,,
NJS05,LOUGHBOROUGH URGENT CARE CENTRE,Other provider,,NHS ENGLAND MIDLANDS,,202104,202204,0,false,,,,
Y02816,EASTBOURNE STATION HEALTH CENTRE,Other provider,,NHS ENGLAND SOUTH EAST,,202104,202108,0,false,,,,
NQ106,FRYATT HOSPITAL,Other provider,,NHS ENGLAND EAST OF ENGLAND,,202105,202108,0,false,,,,
NQT51,STATION PLAZA HEALTH CENTRE,Other provider,,NHS ENGLAND SOUTH EAST,,202205,202509,0,false,,,,
NQT10,ASSURA READING LLP,Other provider,,NHS ENGLAND SOUTH EAST,,202104,202303,0,false,,,,
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,NHS Trust,HU10 6ED,North East and Yorkshire,true,202104,202606,0,false,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,NHS Trust,SO40 2RZ,South East,true,202104,202606,0,false,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board
RBK,WALSALL HEALTHCARE NHS TRUST,NHS Trust,WS2 9PS,Midlands,true,202104,202606,63,true,QUA,NHS Black Country Integrated Care Board,QUA,NHS Black Country Integrated Care Board
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,NHS Trust,HA7 4LP,London,true,202104,202606,0,false,QMJ,NHS North Central London Integrated Care Board,QMJ,NHS North Central London Integrated Care Board
RH5,SOMERSET NHS FOUNDATION TRUST,NHS Trust,TA1 5DA,South West,true,202104,202606,63,true,QSL,NHS Somerset Integrated Care Board,QSL,NHS Somerset Integrated Care Board
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS Trust,B66 2QT,Midlands,true,202104,202606,63,true,QUA,NHS Black Country Integrated Care Board,QUA,NHS Black Country Integrated Care Board
RLQ,WYE VALLEY NHS TRUST,NHS Trust,HR1 2ER,Midlands,true,202104,202606,63,true,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,QGH,NHS Herefordshire And Worcestershire Integrated Care Board
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS Trust,NR4 7UY,East of England,true,202104,202606,63,true,QMM,NHS Norfolk And Waveney Integrated Care Board,QMM,NHS Norfolk And Waveney Integrated Care Board
