region_code,region_name,month_key,vacancy_wte_total,vacancy_wte_nursing,vacancy_pressure_index,nursing_pressure_index
Y60,Midlands,202510,2423.27,629.44,0.8760877118075728,0.7479994010680954
Y60,Midlands,202602,2150.08,603.56,0.7773210031912359,0.7172447231009461
Y59,South East,202603,1963.23,544.5,0.7235113423589266,0.6402735596711144
Y60,Midlands,201607,1739.16,537.69,0.6287606023543635,0.6389676505470008
Y60,Midlands,201610,1454.1100000000001,430.3,0.5257061337021917,0.5113499972667791
Y58,South West,201611,1273.1499999999999,419.94,0.7797873293363476,0.8316042899089708
Y63,North East and Yorkshire,201612,1691.1599999999999,559.27,0.5969435569316497,0.6829298770780357
Y63,North East and Yorkshire,201706,2040.6699999999996,608.87,0.7203131627543872,0.7434969053525196
Y60,Midlands,201709,1945.12,545.8,0.7032215683729613,0.6486052254431978
Y61,East of England,201711,1287.47,420.05,0.9373067328584443,1.0966356004735858
Y56,London,201711,2534.83,746.59,0.9717704746554559,0.9523225396968477
Y62,North West,201712,1477.71,492.45,0.6148040629548943,0.6819043333016002
Y59,South East,201801,2573.25,899.12,0.9483226935840975,1.0572686188640816
Y61,East of England,201804,1131.79,383.42,0.8239682378477624,1.0010046945210862
Y56,London,201804,2542.34,741.52,0.974649561720333,0.9458554355616957
Y60,Midlands,201805,2442.0499999999997,745.36,0.8828772677496454,0.8857537391651555
Y59,South East,201806,2479.1,751.47,0.9136254890369517,0.8836480659064323
Y61,East of England,201811,1341.95,351.38,0.9769693819346388,0.9173570224840104
Y56,London,201811,2407.5299999999997,704.65,0.9229678403866332,0.8988254297504435
Y58,South West,201901,1537.0700000000002,576.17,0.9414347958237601,1.1409854829662611
Y63,North East and Yorkshire,201903,2444.3500000000004,822.24,0.8628036279156782,1.0040450267824916
Y60,Midlands,201908,2155.64,689.7,0.7793311166650337,0.8196097911106147
Y58,South West,202010,1813.08,636.14,1.1104872254433062,1.2597436609579766
Y60,Midlands,202103,3191.7200000000003,1113.69,1.153906362696054,1.323461255998232
Y59,South East,202105,3180.0,1016.79,1.1719289480607908,1.1956359095279934
Y58,South West,202106,2169.2,640.54,1.3286059575041476,1.2684569506555512
Y62,North West,202108,2584.2299999999996,830.26,1.075173818685619,1.149675889464893
Y62,North West,202201,2829.56,876.97,1.1772438329405976,1.214356062900811
Y59,South East,202210,4338.5,1250.44,1.5988722456483462,1.47038323224086
Y58,South West,202303,2428.3199999999997,684.89,1.4873134882567174,1.3562829502208769
Y60,Midlands,202309,3462.48,1079.29,1.2517945504956052,1.2825817767837833
Y62,North West,202402,3141.89,1005.46,1.3071893249401796,1.3922784667710975
Y58,South West,202405,1585.8100000000002,461.94,0.971287393264638,0.9147766006585465
Y59,South East,202407,2879.08,855.0,1.0610305647115916,1.005388234194312
Y60,Midlands,202411,3040.71,859.68,1.0993115361352244,1.0216067061359624
Y62,North West,202412,1725.9500000000003,456.1,0.7180847882581832,0.6315698373821907
Y61,East of England,202502,1307.42,355.05,0.9518307756093636,0.926938388163663
Y56,London,202502,2496.2200000000003,703.37,0.9569686701847628,0.8971927091798333
Y62,North West,202507,2585.8,565.05,1.0758270201790376,0.7824348533497191
Y59,South East,202508,1765.1499999999999,511.33,0.6505126989526745,0.6012691997550614
Y59,South East,202512,1482.2200000000003,445.37,0.5462441903756811,0.5237073191381528
Y63,North East and Yorkshire,201607,1876.4700000000003,532.94,0.6623540506371561,0.6507780654960366
Y62,North West,201609,1869.2299999999996,578.96,0.7776967054409707,0.8016962794360736
Y63,North East and Yorkshire,201610,1905.39,622.33,0.672562196327962,0.7599330384286195
Y60,Midlands,201612,1548.83,447.03,0.5599503689968196,0.5312312091056663
Y58,South West,201702,1325.7800000000002,468.83,0.8120224996956709,0.928420820207703
Y59,South East,201703,2572.37,877.05,0.9479983862022442,1.031316667602481
Y59,South East,201704,1926.1299999999999,613.28,0.7098388379648839,0.7211514576218568
Y60,Midlands,201706,2379.26,711.08,0.8601767236813421,0.8450168627851761
Y62,North West,201708,2231.4700000000003,666.21,0.9284073481007492,0.9225129168217262
Y63,North East and Yorkshire,201709,2085.22,715.96,0.7360383664378383,0.8742655153911179
Y62,North West,201802,2069.86,628.19,0.8611691994693259,0.8698659419976287
Y63,North East and Yorkshire,201805,2551.17,720.82,0.9005088188801278,0.8802001072744645
Y61,East of England,201809,844.26,224.88,0.6146400166862686,0.5871001400654683
Y56,London,201809,2293.57,645.02,0.8792793234873795,0.8227636112930264
Y60,Midlands,201903,2507.64,862.6,0.9065900991788541,1.025076708441375
