org_code,org_name,icb_code,icb_name,region_name,imd_score,deprivation_quintile,core20_proxy,catchment_population,type1_performance_12m,att_type1_12m,dta_12hr_12m
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,Midlands,17.8,4,false,509309,0.5534750449790098,15007.0,689.0
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,QHL,NHS Birmingham And Solihull Integrated Care Board,Midlands,30.900000000000002,1,true,1126429,0.5798229591119854,35585.0,2391.0
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QMM,NHS Norfolk And Waveney Integrated Care Board,East of England,28.4,1,true,203525,0.6667530784186649,7715.0,311.0
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,QR1,NHS Gloucestershire Integrated Care Board,South West,15.400000000000002,5,false,589767,0.6232211275314723,14616.0,472.0
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,QOP,NHS Greater Manchester Integrated Care Board,North West,31.9,1,true,772903,0.626990990990991,27750.0,1231.0
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,28.6,1,true,224030,0.7571358024691358,10125.0,20.0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,QJK,NHS Devon Integrated Care Board,South West,21.9,3,false,483264,0.3498145859085291,8899.0,322.0
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,QWU,NHS Coventry And Warwickshire Integrated Care Board,Midlands,22.5,3,false,546207,0.6028627988426983,13134.0,18.0
RXF,MID YORKSHIRE TEACHING NHS TRUST,QWO,NHS West Yorkshire Integrated Care Board,North East and Yorkshire,27.4,1,true,511018,0.6233906187964381,17631.0,274.0
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,QVV,NHS Dorset Integrated Care Board,South West,18.7,4,false,197676,0.5210375816993464,4896.0,61.0
RJN,EAST CHESHIRE NHS TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,North West,12.9,5,false,121371,0.49828104856037814,4654.0,389.0
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",South East,11.7,5,false,483320,0.6396973742768135,11235.0,47.0
