org_code,month_key,type1_performance,prev_month,mom_change,yoy_change,rolling_3m,national_rank
RHM,202305,0.6165432729129436,0.6402198014075002,-0.023676528494556592,-0.02643503259549318,0.6337156283811818,59
RXC,202305,0.6159716251074807,0.6230751551367502,-0.007103530029269445,0.014087429066409474,0.6025705028309816,60
RTE,202305,0.6135307552965268,0.6277442491034724,-0.014213493806945587,0.06071356842988718,0.6098303657014741,61
RCF,202305,0.6125371049415052,0.5189058728881737,0.09363123205333146,0.0011398093845187418,0.5460512448306023,62
RMC,202305,0.6068999507146378,0.6607245543415756,-0.05382460362693786,0.035204655718371836,0.628444627963238,63
RM3,202305,0.6066037005496632,0.5742613436510728,0.03234235689859033,0.06644163619595378,0.5682489849178601,64
RR7,202305,0.6020723785957316,0.6266323024054983,-0.02455992380976668,-0.04802669670149429,0.6103449916069618,65
R0A,202305,0.5975212002609263,0.5772478217910716,0.020273378469854664,0.06818190181055994,0.5418081963898612,66
RTR,202305,0.5948747480564354,0.5932114333753677,0.001663314681067618,0.06026008114096604,0.586675374586843,67
RD8,202305,0.5942808261028962,0.6186989580399888,-0.024418131937092524,-0.12081789631289941,0.6328906107993904,68
RCX,202305,0.5884155684952498,0.5979295374853899,-0.00951396899014012,-0.029187478709212233,0.585745315544362,69
RWW,202305,0.5840804129312687,0.5866800057167357,-0.002599592785467064,-0.015568283190876997,0.5696447250188281,70
RNS,202305,0.5839769452449568,0.5889959432048681,-0.005018997959911342,0.01244294419066061,0.5763023389286658,71
RNA,202305,0.5830277632268204,0.608122179798681,-0.025094416571860623,-0.070822334179106,0.5867259364789678,72
RJR,202305,0.5821576172153342,0.532080161565947,0.05007745564938726,0.013733689326779208,0.5541198267054234,73
RR8,202305,0.5756588349625564,0.6046332046332046,-0.028974369670648148,0.08957089566973042,0.5802818241669015,74
RLQ,202305,0.5749262024657058,0.5931215936853975,-0.018195391219691714,-0.05330509005130102,0.5701547495310876,75
RM1,202305,0.5746268656716418,0.6201542721518987,-0.04552740648025688,0.1402750138197899,0.585351329398639,76
REM,202305,0.5732089139910369,0.5646874018221804,0.008521512168856549,0.06863218990211772,0.5635801355294475,77
RBN,202305,0.5691193803670651,0.5859134081657826,-0.016794027798717526,-0.004737816459531086,0.5682555037536338,78
R0B,202305,0.5618081180811808,0.5766302852425937,-0.014822167161412936,-0.05127271949285772,0.5661804544755782,79
RKB,202305,0.5611832487746151,0.5754316444947636,-0.014248395720148466,0.06213358345769915,0.5628150782328177,80
R1H,202305,0.5576393172938515,0.5927949140569815,-0.03515559676312996,-0.01859630595762496,0.5592132042740743,81
RMP,202305,0.5523047528063052,0.5981678971834837,-0.04586314437717853,-0.013742037835566379,0.549952497503158,82
RXL,202305,0.5505895564289724,0.5675610052203472,-0.0169714487913748,-0.0023341190487710106,0.5530101043413104,83
RN3,202305,0.5496285006667937,0.5491786234144314,0.00044987725236234066,0.0014305355003857434,0.5608876411514219,84
RXK,202305,0.5495743111885768,0.5567387158296249,-0.007164404641048061,-0.01128116515620603,0.5439856195456941,85
RXQ,202305,0.54491643454039,0.5885001731901628,-0.04358373864977283,-0.08896102994975208,0.5710003445982349,86
RRK,202305,0.5442992979649871,0.5377554438860972,0.00654385407888991,-0.0006871678464758224,0.5306209997028543,87
R1F,202305,0.544,0.5274693993737547,0.01653060062624534,-0.1706388354847569,0.5571005380462851,88
RH8,202305,0.5431582469053196,0.5626882530120482,-0.019530006106728615,-0.04533225735139301,0.5378536725490747,89
RD1,202305,0.542532624456259,0.5551345701593937,-0.012601945703134665,-0.0734148900529511,0.5392394267279932,90
RJN,202305,0.5411108416201795,0.5700669757856776,-0.028956134165498026,0.002824606433306176,0.550472028769778,91
RGN,202305,0.5379114181227144,0.5875745875745876,-0.04966316945187321,0.12799123568257753,0.5520625866944223,92
RDE,202305,0.5348163841807909,0.5562698532748449,-0.02145346909405399,-0.1043312402915002,0.5146856872065863,93
RBT,202305,0.5332246229107216,0.4959277358211165,0.0372968870896051,0.08103707837602014,0.49433283752599727,94
RHQ,202305,0.5315457413249212,0.5460033808258875,-0.014457639500966346,0.030415858617506952,0.5302228852261684,95
