region,month_key,month_start,is_winter,winter_label,cat1_mean_sec,cat2_mean_sec,cat1_incidents,cat2_incidents
Y60,202307,2023-07-01,false,,499.0111039682076,1931.4482792868848,17111.0,80548.0
Y61,202308,2023-08-01,false,,539.0,2496.0,8024.0,39247.0
Y58,202309,2023-09-01,false,,578.0,2848.0,10349.0,39432.0
Y63,202312,2023-12-01,true,2023-24,503.2265005662514,2684.356256383275,15011.0,64622.0
Y59,202405,2024-05-01,false,,514.0211360634082,1756.612021412018,9084.0,61274.0
Y62,202406,2024-06-01,false,,464.0,1613.0,9643.0,48184.0
Y61,202412,2024-12-01,true,2024-25,587.0,3440.0,9557.0,45473.0
Y58,202502,2025-02-01,true,2024-25,550.0,2428.0,7882.0,37878.0
Y60,202503,2025-03-01,false,,493.2718615796353,1703.391291613785,16067.0,81944.0
Y60,202504,2025-04-01,false,,487.3711580858514,1571.7018685016826,15422.0,79636.0
Y61,202504,2025-04-01,false,,516.0,2178.0,8075.0,39861.0
Y61,202506,2025-06-01,false,,508.0,1971.0,8139.0,40484.0
Y63,202508,2025-08-01,false,,438.39146970931813,1378.772832329458,11043.0,57112.0
Y58,202508,2025-08-01,false,,543.0,1927.0,8443.0,41485.0
Y63,202509,2025-09-01,false,,443.69491043502984,1530.6749190630355,10551.0,57761.0
Y62,202509,2025-09-01,false,,427.0,1500.0,9710.0,46516.0
Y59,202604,2026-04-01,false,,483.27823385844243,1425.3272469568117,9014.0,59970.0
Y62,201709,2017-09-01,false,,590.0,1505.0,7521.0,47669.0
Y60,201710,2017-10-01,false,,443.3411078717201,1194.5242833417576,11319.0,69245.0
Y56,201711,2017-11-01,false,,424.0,1107.0,7658.0,52321.0
Y56,201712,2017-12-01,true,2017-18,444.0,1451.0,8551.0,56491.0
Y63,201712,2017-12-01,true,2017-18,474.07027577561894,1658.6244551733387,12764.0,59652.0
Y62,201802,2018-02-01,true,2017-18,531.0,1913.0,8662.0,43455.0
Y63,201803,2018-03-01,false,,470.7544387914028,1480.908192466983,9631.0,56259.0
Y58,201806,2018-06-01,false,,458.0,1592.0,5366.0,36884.0
Y56,201902,2019-02-01,true,2018-19,397.0,1341.0,11499.0,54833.0
Y62,201902,2019-02-01,true,2018-19,481.0,1620.0,8763.0,47234.0
Y59,201903,2019-03-01,false,,444.6293316831683,1161.7807785467128,6464.0,57800.0
Y58,201905,2019-05-01,false,,406.0,1712.0,4116.0,40532.0
Y59,201906,2019-06-01,false,,444.3117714660975,1174.3640309187754,6091.0,55759.0
Y56,201907,2019-07-01,false,,395.0,1263.0,12560.0,59730.0
Y61,202005,2020-05-01,false,,377.0,891.0,5522.0,35801.0
Y63,202006,2020-06-01,false,,398.71500156592543,916.8412612068097,6386.0,49635.0
Y63,202007,2020-07-01,false,,404.6035734226689,1022.6032155543093,7164.0,53490.0
Y63,202102,2021-02-01,true,2020-21,417.93302325581396,1377.0834380497613,6450.0,51727.0
Y56,202106,2021-06-01,false,,393.0,1641.0,9357.0,63816.0
Y59,202107,2021-07-01,false,,503.4129301355579,1687.1649258424209,9590.0,65199.0
Y58,202112,2021-12-01,true,2021-22,698.0,4396.0,8205.0,42371.0
Y59,202203,2022-03-01,false,,598.8936194629332,2730.762586537524,8714.0,61534.0
Y58,202203,2022-03-01,false,,787.0,6823.0,8970.0,37716.0
Y56,202204,2022-04-01,false,,400.0,2269.0,9966.0,53235.0
Y62,202212,2022-12-01,true,2022-23,598.0,4331.0,11001.0,49187.0
Y56,202301,2023-01-01,true,2022-23,464.0,1770.0,10678.0,49769.0
Y59,202304,2023-04-01,false,,499.87134578235674,1502.6278120767593,7765.0,56853.0
Y60,202304,2023-04-01,false,,494.8822324011572,1806.4296513300724,16592.0,76462.0
Y56,202306,2023-06-01,false,,480.0,2737.0,12729.0,51699.0
Y62,202311,2023-11-01,false,,487.0,1924.0,9192.0,49787.0
Y61,202311,2023-11-01,false,,555.0,2766.0,8431.0,39758.0
Y63,202401,2024-01-01,true,2023-24,473.93092224231464,2089.5677659691028,13825.0,63889.0
Y59,202402,2024-02-01,true,2023-24,509.4468412942989,1704.6413659087511,8437.0,60209.0
Y60,202405,2024-05-01,false,,512.5619417700963,1879.4750524846945,17242.0,79547.0
Y61,202407,2024-07-01,false,,541.0,2322.0,8193.0,41800.0
Y63,202408,2024-08-01,false,,445.4860661049903,1479.7909175585667,12344.0,56901.0
Y63,202412,2024-12-01,true,2024-25,476.5712653890088,2402.604651514464,15758.0,66129.0
Y62,202412,2024-12-01,true,2024-25,483.0,2542.0,10988.0,51499.0
Y63,202501,2025-01-01,true,2024-25,453.184493576337,1694.5412995141235,13388.0,60715.0
Y58,202501,2025-01-01,true,2024-25,580.0,3105.0,9027.0,42456.0
Y63,202503,2025-03-01,false,,454.27376510968514,1532.2626959247648,13402.0,59015.0
Y62,202504,2025-04-01,false,,427.0,1432.0,9492.0,46032.0
Y58,202504,2025-04-01,false,,537.0,2200.0,8171.0,39942.0
Y61,202505,2025-05-01,false,,505.0,1931.0,8176.0,40547.0
Y61,202509,2025-09-01,false,,525.0,2159.0,7750.0,41430.0
Y63,202510,2025-10-01,false,,447.5502512562814,1544.4025522041763,11144.0,62064.0
Y61,202510,2025-10-01,false,,543.0,2441.0,8407.0,44457.0
Y63,202603,2026-03-01,false,,433.1158605174353,1424.7232808891695,10668.0,60191.0
Y59,202606,2026-06-01,false,,508.4739558892539,2028.0832935104654,10655.0,62778.0
Y61,201710,2017-10-01,false,,,,,
Y56,201804,2018-04-01,false,,409.0,1004.0,8732.0,54667.0
Y58,201810,2018-10-01,false,,422.0,1622.0,4554.0,38797.0
Y61,201811,2018-11-01,false,,487.0,1550.0,6487.0,40945.0
Y59,201902,2019-02-01,true,2018-19,467.5302491103203,1287.0774637654836,5901.0,55058.0
Y60,201902,2019-02-01,true,2018-19,433.245,1237.8540925266905,10600.0,75589.0
Y56,201903,2019-03-01,false,,378.0,1095.0,12566.0,58412.0
Y61,201904,2019-04-01,false,,472.0,1611.0,6975.0,42070.0
Y56,201906,2019-06-01,false,,398.0,1290.0,12511.0,56879.0
Y58,202001,2020-01-01,true,2019-20,411.0,1556.0,5249.0,42101.0
Y58,202002,2020-02-01,true,2019-20,417.0,1607.0,4961.0,38451.0
Y63,202003,2020-03-01,false,,459.8919409761634,1507.340196267077,8810.0,57167.0
Y61,202003,2020-03-01,false,,503.0,1884.0,7429.0,44385.0
Y59,202005,2020-05-01,false,,381.83876626224236,800.5307079836454,6841.0,46470.0
Y60,202008,2020-08-01,false,,424.0054598191435,1025.550197996739,11722.0,77274.0
Y60,202010,2020-10-01,false,,448.96383659498474,1287.1331616989387,13439.0,82734.0
Y63,202011,2020-11-01,false,,464.3296922871986,1613.2974866450652,7507.0,57095.0
Y60,202011,2020-11-01,false,,426.3578608765581,1218.3198067872797,12435.0,80533.0
Y62,202103,2021-03-01,false,,433.0,1244.0,8864.0,49674.0
Y63,202107,2021-07-01,false,,522.8895661527429,2364.4053004236057,11156.0,65391.0
Y58,202107,2021-07-01,false,,579.0,3037.0,10617.0,45791.0
Y62,202108,2021-08-01,false,,522.0,2945.0,12585.0,51923.0
