region_name,month_key,breach_rate,vacancy_pressure_index,nursing_pressure_index,breach_dm,nurse_dm
South East,202210,0.3700350320709073,1.5988722456483462,1.4703832322408603,0.011767176034400362,0.08599040994606133
Midlands,202212,0.4737979470556456,1.2327273949905513,1.177828111296759,0.0024457628099832096,-0.021560419219373683
East of England,202302,0.3499639299473531,1.4994781900931469,1.5474297181590377,-0.014607937013043581,0.11817478006283078
North West,202307,0.4028304284017777,1.2383660185444738,1.1576657117882765,-0.0430490557351787,-0.06888474225941388
North West,202310,0.4544073853484217,1.5569411239746274,1.478463309302708,-0.0420895919745618,0.30872807087805976
London,202310,0.43589859012910315,1.0864164116396773,1.0492015454295462,0.010002166555316272,-0.12422063541098649
North East and Yorkshire,202312,0.4476202311420405,0.9396965206295493,0.8516994129211084,0.007272238379527285,-0.04251547974535397
South East,202404,0.36525467123163885,1.0402896335176102,1.1016585672159358,0.006290937108062666,0.0868868319074132
South East,202406,0.3561799561867868,0.9860897623253774,1.0178997322198413,-0.001924278563564974,0.033185221182037594
London,202502,0.40431296628123153,0.9569686701847628,0.8971927091798333,0.0013542521953707753,0.11125748079411868
North West,202502,0.439231541218638,0.8929888492888374,0.799896146156975,-0.03432772661641936,0.017647860187144815
North East and Yorkshire,202601,0.4233829904200575,0.7813573092193931,0.631423480855904,0.007753543208396663,-0.09722059118852822
North West,202108,0.38315176412469776,1.075173818685619,1.149675889464893,0.03396334471256868,-0.08748055903913765
South West,202208,0.36967885145537216,1.5277192300124558,1.477496691672818,-0.006424911532306454,0.15766753610773754
South West,202302,0.36428520520887425,1.2412776164471027,1.1435400610821411,-0.020927910764533375,-0.1970094235510238
London,202307,0.37468313174476714,1.2512719402200314,1.2794916796623501,-0.0005957986429926398,0.04925428319877523
North East and Yorkshire,202509,0.37834597201945913,0.9206674357681609,0.8606257229349485,0.0009805092725737596,0.0015251870441970183
East of England,202602,0.4011067216638587,0.8039621879833386,0.723771664133537,0.003784480603760243,-0.019609000190057735
South West,202602,0.4553463511589804,0.8863599997243808,0.7747896804945584,0.03738286108587102,0.12011446963400574
London,202108,0.2595220435599965,1.0213475105049776,1.114676191436912,-0.019065822102936003,-0.12616719948300315
North East and Yorkshire,202106,0.21397016454318457,1.305442520644845,1.308833943260539,-0.006877455264379662,-0.026528888301303732
South East,202203,0.3191299030137014,1.5711587057445189,1.3884940665925656,-0.005140905742289981,-0.07773872297648854
North East and Yorkshire,202205,0.3252743409259826,1.7496592284237318,1.6915662753587541,-0.0115301269374542,0.14798904309913818
North East and Yorkshire,202207,0.345317056689665,1.4140999718205287,1.3540149925781984,-0.017700330491241534,-0.009591157914804027
Midlands,202211,0.4269958004381099,1.6913767216567672,1.7057675716400993,-0.0026142777215089064,0.15562951896783228
North West,202301,0.45426583796245346,1.3474964336550628,1.386338026950072,0.033537750848812276,-0.021092064577493463
North East and Yorkshire,202303,0.3609132302720964,1.6101867316461338,1.4802166533073902,-0.0002446020176970487,0.004323316002355471
Midlands,202304,0.38558963382478717,1.38577801333544,1.4876446527502145,0.013152763948154123,0.2360766274624433
North West,202306,0.3930771321745642,1.0746079880925945,0.9114213263866652,-0.06120247661375833,-0.12245222715951698
London,202306,0.3920345147258076,1.0113109593254193,0.9554986914318631,0.008355459686681665,-0.08206180453020351
South West,202309,0.444882427220914,1.1077800346208055,0.9270544179596742,0.011325013013677832,-0.12354936729915833
Midlands,202311,0.48319224294018615,1.2369717712823478,1.2041026835476734,0.00389153920752755,-0.007347064147486204
North East and Yorkshire,202407,0.39376108959710265,1.1150775464917146,0.9395460261079303,0.020943058522167157,-0.1766690990879869
South East,202409,0.37347717859152646,0.9007490118529129,0.8040754088211352,0.00823941898302305,-0.05119179958933495
North East and Yorkshire,202412,0.45222513967230127,0.8697996669057115,0.7915964062342113,0.01628719921304911,0.008784753418003444
North East and Yorkshire,202501,0.4356750589782264,1.0856391180472742,1.047602000543597,0.023196840606697966,0.09841468045496127
South East,202504,0.37866102432752563,0.6973677450081616,0.7157776281127716,0.01600271687783511,-0.023958513682934557
North East and Yorkshire,202511,0.393743310090256,0.8328110228206649,0.8010111600244587,0.01050970340878532,0.09549041387975676
South East,202204,0.32523298790165356,1.3440587762905876,1.2126510764856446,0.002060588195637647,0.005068344022431059
South East,202503,0.37382988911526943,0.7381788807654737,0.715377824604437,0.01817963805715106,-0.07494059104010509
South East,202508,0.3594544383071806,0.6505126989526745,0.6012691997550614,0.01637580253443982,-0.02653857853973207
South West,202512,0.4311200013010034,0.7933967818422217,0.7198167436753151,0.018104727641830354,0.06264944534381711
London,202301,0.3580161727105595,1.4276553180734688,1.6357181435329329,0.007888639346114945,0.22460110958948287
East of England,202309,0.4367193689504323,1.2384676734485576,1.1090887651307908,0.023803203756207092,-0.03022047359108382
East of England,202512,0.37949790241255643,0.8830545190339582,0.7869512416396928,-0.01287612223360568,0.04107848984515261
Midlands,202104,0.23206060827606376,1.0874713893246348,1.079646059764848,0.014295591407555763,-0.05784908248638887
South East,202110,0.28961675418571214,1.3473202766649077,1.3334505306362665,-0.004310543686804391,-0.02974137825650436
North West,202112,0.43400178106138065,1.1401070397542798,1.1210676175062961,0.0416190666451709,-0.03274638849394762
London,202206,0.34456011430904265,1.240000946916784,1.2217341894770095,-0.0002406809462137116,-0.032983590207898095
North East and Yorkshire,202208,0.3441168050386487,1.4832414510015475,1.4739279396861482,-0.009844460034816427,0.09592987690301435
South East,202209,0.3442557334487235,1.5234228703224075,1.436776219687324,0.004039898250964902,0.1110865475528624
North East and Yorkshire,202302,0.35560723541159356,1.3544500914509132,1.3005059768727976,-0.007463382647600603,-0.0982124149784207
South East,202305,0.29295157513031655,1.3950266295977596,1.2756436469017725,-0.014144565560383737,0.05634382152539441
Midlands,202402,0.46465524948996595,1.1630964858082737,1.0718979724253652,-0.005333418521241751,-0.11096767602294144
London,202403,0.38216197887668857,1.036110978263755,0.9127035546006314,0.007023041092357629,-0.029427333926729027
North West,202403,0.4409919859890096,1.1343488813664393,0.9703410733294676,-0.004747505544517916,0.03189712721799176
Midlands,202405,0.420309635733343,1.1244162626856782,0.9865501759956649,-0.015957031607482353,-0.07799844877610074
South East,202408,0.34026836150797596,0.899698698173047,0.8856235655946738,0.002549584688083084,0.01797232232583701
Midlands,202411,0.46195856732057633,1.0993115361352244,1.0216067061359624,-0.0012929771531250966,0.06758579713129231
